,Company Name,Job Summary,Job Title,Location,Salary Class
0,Memorial Sloan Kettering Cancer Center,"Working together with members in the group, the *Bioinformatics Data Scientist*. As part of their role the Bioinformatics data scientist will support end-to-end...","Bioinformatics Data Scientist - Cancer Genomics, NYC","New York, NY 10065 (Upper East Side area)",Low
1,eTemp,"High growth company focused on using data science to transform the way individuals are hired, is looking for an inventive, collaborative, methodologically...",Mid - Senior Level Data Scientist,"New York, NY",Low
2,Comcast,Visible World is the leading provider of targeted TV advertising solutions. Our technology makes television advertising inventory more valuable for inventory,Data Scientist,"New York, NY",Low
3,Samsung Accelerator,"Solid foundation in data structures, algorithms, distributed systems and software design. Who We Are Looking For:....",Machine Learning Engineer,"New York, NY",Low
4,DataKind,A mid-career data scientist - You have a successful track record leading and executing a broad range of data science projects spanning the entire project...,Data Scientist,"New York, NY",Low
6,Bloomberg,Bloomberg's Global Data division houses an incredible team of data oriented professionals who work to solve tangible business challenges....,Machine Learning Engineer,"New York, NY",Low
8,Crisis Text Line,Chief Data Scientist. The Data Scientist's role at Crisis Text Line is to support staff in making smarter decisions through data....,Data Scientist,"New York, NY",Low
9,Paperless Post,Build production systems to collect and process data. Analyze the data we collect to generate important insights....,Data Scientist,"New York, NY",Low
10,DISH Network,A successful Data Scientist will have the following:. Developing critical analytics using key DISH data sources including the viewer measurement data and...,Data Scientist,"New York, NY",Low
11,PlaceIQ,Data Scientists analyze PlaceIQ hyperlocal data sources to develop accurate predictions of audience and behavior....,Data Scientist,"New York, NY",Low
12,Tapad,Tapad is looking for an experienced Data Scientist to join our Engineering team. The Data Scientist will work on expanding and developing the core of our...,Data Scientist,"New York, NY",Low
13,Google,"Passionate people are everywhere at Google. In Developer Relations, we get excited to collaborate and connect with the communities that love technology as","Developer Programs Engineer, Machine Learning","New York, NY 10011 (Chelsea area)",Low
14,Lux Research,"Analyst - Data Analytics and Artificial Intelligence (Boston, New York, Amsterdam, or Singapore). Relevant expertise in machine learning, statistics, data...",Research Analyst - Data Analytics and Artificial Intelligenc...,"New York, NY",Low
15,Verizon,"Research data to improve customer engagement. Understand, categorize, organize, and interpret heterogeneous data sets....",Data Scientist,"New York, NY 10007 (Financial District area)",Low
18,Spotify,"You have experience with a range of data science techniques including clustering, machine learning, and network analysis....",Research Lead / Data Scientist,"New York, NY 10011 (Chelsea area)",Low
20,Datadog,"You've written production data pipelines. Join us to build powerful, intelligent data systems. Explore and find meaning in extremely high volumes of data....",Data Scientist (NYC),"New York, NY 10001 (Chelsea area)",Low
21,DBRS,"Lead Data Scientist, US RMBS. The Lead Data Scientist role is a unique and exciting opportunity to take on global ownership of the mortgage modeling process....","Lead Data Scientist, US RMBS","New York, NY 10005 (Financial District area)",Low
22,x.ai,"A Data Scientist will. Familiar with data structures, parallelism and concurrency. Be capable of visualizing and communicating data science concepts to other...",Data Scientist,"New York, NY 10004 (Financial District area)",Low
24,Dia&Co,"You are a data science Ph.D. Can write code for data analysis and producing results (e.g. In a relevant field, with knowledge of statistics, recommendation...",Data Scientist,"New York, NY",Low
25,Career Path Group,Insurance Company is looking for a talented and motivated data scientist and analytics developer to help provide business insight from our data assets and...,Data Scientist and Analytics Developer - Insurance,"Manhattan, NY",Low
27,MLB Advanced Media,"Undergraduate (Bachelors) degree with (3) years of experience in data research, predictive modeling, statistical analysis, data transformation and / or other...",Senior Statistical Analyst,"New York, NY 10011 (Chelsea area)",Low
