,F1,Year,Artist Name,Track,Time,Genre,Date Entered,Date Peaked,Week,Ranking,Find Delta Date,counts
0,576,2000,"Clark, Terri",A Little Gasoline,12/30/99 3:07,Country,12/16/00,12/16/00,x2nd.week,82,0,6.0
1,299,2000,En Vogue,Riddle,12/30/99 5:10,Rock,6/17/00,6/17/00,x1st.week,92,0,4.0
2,947,2000,"Smith, Will",Freakin' It,12/30/99 3:58,Rap,2/12/00,2/12/00,x3rd.week,99,0,4.0
3,942,2000,"Braxton, Toni",Spanish Guitar,12/30/99 4:24,Rock,12/2/00,12/2/00,x3rd.week,98,0,3.0
4,301,2000,Anastacia,I'm Outta Love,12/30/99 4:01,Pop,4/1/00,4/1/00,x1st.week,92,0,3.0
5,940,2000,De La Soul,All Good?,12/30/99 5:02,Rap,12/23/00,12/23/00,x3rd.week,100,0,3.0
6,282,2000,"Hollister, Dave",Can't Stay,12/30/99 6:17,Rock,3/25/00,3/25/00,x1st.week,84,0,4.0
7,306,2000,De La Soul,All Good?,12/30/99 5:02,Rap,12/23/00,12/23/00,x1st.week,96,0,3.0
8,271,2000,"Estefan, Gloria",No Me Dejes De Querer,12/30/99 3:25,Rock,6/10/00,6/10/00,x1st.week,77,0,1.0
9,933,2000,En Vogue,Riddle,12/30/99 5:10,Rock,6/17/00,6/17/00,x3rd.week,97,0,4.0
10,308,2000,"Braxton, Toni",Spanish Guitar,12/30/99 4:24,Rock,12/2/00,12/2/00,x1st.week,98,0,3.0
11,309,2000,Tuesday,I Know,12/30/99 4:06,Rock,12/30/00,12/30/00,x1st.week,98,0,2.0
12,311,2000,Master P,Souljas,12/30/99 3:33,Rap,11/18/00,11/18/00,x1st.week,98,0,1.0
13,259,2000,"Clark, Terri",A Little Gasoline,12/30/99 3:07,Country,12/16/00,12/16/00,x1st.week,75,0,6.0
14,312,2000,Ghostface Killah,Cherchez LaGhost,12/30/99 3:04,R&B,8/5/00,8/5/00,x1st.week,98,0,1.0
15,313,2000,"Smith, Will",Freakin' It,12/30/99 3:58,Rap,2/12/00,2/12/00,x1st.week,99,0,4.0
16,314,2000,Zombie Nation,Kernkraft 400,12/30/99 3:30,Rock,9/2/00,9/2/00,x1st.week,99,0,2.0
17,315,2000,"Eastsidaz, The",Got Beef,12/30/99 3:58,Rap,7/1/00,7/1/00,x1st.week,99,0,2.0
18,316,2000,Fragma,Toca's Miracle,12/30/99 3:22,R&B,10/28/00,10/28/00,x1st.week,99,0,1.0
19,247,2000,"Wallflowers, The",Sleepwalker,12/30/99 3:29,Rock,10/28/00,10/28/00,x1st.week,73,0,6.0
20,243,2000,Q-Tip,Breathe And Stop,12/30/99 4:06,Rock,1/22/00,1/22/00,x1st.week,71,0,5.0
