Rankthisweek value,Ranklastweek value,Playername link,Rounds number,Avg number,Total number,Totaldrives number
1,1,Tony Finau,69,311.1,"40,445",130
2,2,Dustin Johnson,57,310.1,"29,771",96
3,3,J.B. Holmes,47,309.9,"27,270",88
4,4,Gary Woodland,63,308.2,"33,906",110
5,7,Andrew Loupe,61,307.2,"37,166",121
T6,6,Jason Kokrak,67,306.7,"41,096",134
T6,5,Hudson Swafford,76,306.7,"44,163",144
8,8,Luke List,59,306,"36,113",118
9,9,Bubba Watson,42,305.5,"21,384",70
10,10,Jamie Lovemark,69,305.1,"41,802",137
11,11,Rory McIlroy,47,304.6,"21,931",72
12,T12,Ryan Palmer,62,303.9,"37,678",124
13,T12,Brendan Steele,64,303.6,"36,429",120
14,14,Brooks Koepka,55,303.3,"30,326",100
15,16,Jhonattan Vegas,65,303.2,"39,419",130
16,17,Charles Howell III,81,303,"46,662",154
17,15,Robert Garrigus,46,302.6,"27,541",91
18,18,Harold Varner III,74,301.8,"44,058",146
19,19,Adam Scott,51,301.5,"24,119",80
20,20,Justin Rose,41,301.4,"22,905",76
T21,T22,Jason Day,48,300.1,"24,608",82
T21,T22,Jimmy Walker,55,300.1,"31,208",104
23,25,Justin Thomas,67,300,"33,603",112
24,21,Patrick Rodgers,65,299.9,"38,993",130
25,26,Sergio Garcia,40,299.4,"17,364",58
T26,27,Daniel Berger,68,298.8,"34,068",114
T26,24,Sean O'Hair,63,298.8,"37,648",126
28,29,Rickie Fowler,52,298.4,"26,855",90
29,28,Smylie Kaufman,71,297.9,"40,517",136
30,30,Greg Owen,67,297.7,"37,506",126
31,T31,Martin Laird,56,297.3,"33,293",112
32,33,Byeong Hun An,37,297.2,"17,238",58
T33,T34,Keegan Bradley,58,297.1,"32,086",108
T33,T31,Lucas Glover,67,297.1,"39,808",134
35,36,Graham DeLaet,54,296.7,"31,454",106
T36,39,Charley Hoffman,67,296.4,"37,941",128
T36,37,Scott Piercy,63,296.4,"30,237",102
38,38,Harris English,69,296.3,"35,854",121
39,T34,Carlos Ortiz,59,296.2,"32,586",110
40,40,Scott Pinckney,65,296.1,"36,122",122
41,41,Russell Henley,56,295.8,"33,131",112
42,42,Louis Oosthuizen,37,295.7,"15,374",52
43,43,Nick Taylor,67,295.1,"37,179",126
44,45,Marc Leishman,63,294.9,"30,672",104
45,44,Derek Ernst,40,294.7,"23,575",80
46,T46,Matt Jones,61,294.6,"29,162",99
47,T46,Stewart Cink,51,294.3,"27,662",94
48,T48,Chesson Hadley,63,294.1,"34,409",117
T49,T48,Phil Mickelson,49,294,"27,050",92
T49,T56,Patrick Reed,69,294,"33,520",114
T49,T50,Scott Stallings,58,294,"34,109",116
52,T50,Jordan Spieth,52,293.9,"25,860",88
